"tag","category","context"
"th","table","<th>This is inside the <th> tag.</th>"
"br","inline","<br>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"code","inline","<code>This is inside the <code> tag.</code>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"button","form","<button disabled class=""btn btn-primary"">This is inside the <button> tag.</button>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"track","media","<track>This is inside the <track> tag.</track>"
"source","media","<source>This is inside the <source> tag.</source>"
"select","form","<select>This is inside the <select> tag.</select>"
"br","inline","<br>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"label","form","<label>This is inside the <label> tag.</label>"
"input","form","<input>"
"button","form","<button type=""submit"" class=""btn btn-primary"">This is inside the <button> tag.</button>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"track","media","<track>This is inside the <track> tag.</track>"
"td","table","<td>This is inside the <td> tag.</td>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"code","inline","<code>This is inside the <code> tag.</code>"
"th","table","<th>This is inside the <th> tag.</th>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"form","form","<form method=""post"">This is inside the <form> tag.</form>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"a","inline","<a rel=""noopener"">This is inside the <a> tag.</a>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"a","inline","<a>This is inside the <a> tag.</a>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"table","table","<table>This is inside the <table> tag.</table>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"option","form","<option>This is inside the <option> tag.</option>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"code","inline","<code>This is inside the <code> tag.</code>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"li","list","<li>This is inside the <li> tag.</li>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"video","media","<video>This is inside the <video> tag.</video>"
"select","form","<select>This is inside the <select> tag.</select>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"br","inline","<br>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"link","metadata","<link rel=""stylesheet"">"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"button","form","<button disabled type=""submit"">This is inside the <button> tag.</button>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"td","table","<td>This is inside the <td> tag.</td>"
"code","inline","<code>This is inside the <code> tag.</code>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"col","table","<col>This is inside the <col> tag.</col>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"script","scripting","<script src=""app.js"" type=""text/javascript"">This is inside the <script> tag.</script>"
"label","form","<label>This is inside the <label> tag.</label>"
"input","form","<input type=""text"">"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"link","metadata","<link rel=""stylesheet"" href=""styles.css"">"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"select","form","<select>This is inside the <select> tag.</select>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"br","inline","<br>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"li","list","<li>This is inside the <li> tag.</li>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"li","list","<li>This is inside the <li> tag.</li>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"label","form","<label>This is inside the <label> tag.</label>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"em","inline","<em>This is inside the <em> tag.</em>"
"link","metadata","<link>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"th","table","<th>This is inside the <th> tag.</th>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"code","inline","<code>This is inside the <code> tag.</code>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"button","form","<button type=""submit"">This is inside the <button> tag.</button>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"li","list","<li>This is inside the <li> tag.</li>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"img","inline","<img alt=""image description"">"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"a","inline","<a>This is inside the <a> tag.</a>"
"table","table","<table>This is inside the <table> tag.</table>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"em","inline","<em>This is inside the <em> tag.</em>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"th","table","<th>This is inside the <th> tag.</th>"
"code","inline","<code>This is inside the <code> tag.</code>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"td","table","<td>This is inside the <td> tag.</td>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"option","form","<option>This is inside the <option> tag.</option>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"button","form","<button class=""btn btn-primary"" disabled>This is inside the <button> tag.</button>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"code","inline","<code>This is inside the <code> tag.</code>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"br","inline","<br>"
"video","media","<video>This is inside the <video> tag.</video>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"code","inline","<code>This is inside the <code> tag.</code>"
"video","media","<video>This is inside the <video> tag.</video>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"code","inline","<code>This is inside the <code> tag.</code>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"col","table","<col>This is inside the <col> tag.</col>"
"img","inline","<img width=""500"" alt=""image description"">"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"source","media","<source>This is inside the <source> tag.</source>"
"track","media","<track>This is inside the <track> tag.</track>"
"object","media","<object>This is inside the <object> tag.</object>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"source","media","<source>This is inside the <source> tag.</source>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"form","form","<form enctype=""multipart/form-data"" action=""/submit"">This is inside the <form> tag.</form>"
"object","media","<object>This is inside the <object> tag.</object>"
"track","media","<track>This is inside the <track> tag.</track>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"td","table","<td>This is inside the <td> tag.</td>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"a","inline","<a target=""_blank"">This is inside the <a> tag.</a>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"button","form","<button>This is inside the <button> tag.</button>"
"br","inline","<br>"
"table","table","<table>This is inside the <table> tag.</table>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"button","form","<button>This is inside the <button> tag.</button>"
"form","form","<form>This is inside the <form> tag.</form>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"td","table","<td>This is inside the <td> tag.</td>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"a","inline","<a href=""https://example.com"">This is inside the <a> tag.</a>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"th","table","<th>This is inside the <th> tag.</th>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"table","table","<table>This is inside the <table> tag.</table>"
"input","form","<input required placeholder=""Enter text"">"
"span","text_content","<span>This is inside the <span> tag.</span>"
"li","list","<li>This is inside the <li> tag.</li>"
"form","form","<form enctype=""multipart/form-data"">This is inside the <form> tag.</form>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"script","scripting","<script src=""app.js"" type=""text/javascript"">This is inside the <script> tag.</script>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"track","media","<track>This is inside the <track> tag.</track>"
"th","table","<th>This is inside the <th> tag.</th>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"col","table","<col>This is inside the <col> tag.</col>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"table","table","<table>This is inside the <table> tag.</table>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"link","metadata","<link rel=""stylesheet"" href=""styles.css"">"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"br","inline","<br>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"source","media","<source>This is inside the <source> tag.</source>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"code","inline","<code>This is inside the <code> tag.</code>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"track","media","<track>This is inside the <track> tag.</track>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"source","media","<source>This is inside the <source> tag.</source>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"img","inline","<img src=""image.jpg"">"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"col","table","<col>This is inside the <col> tag.</col>"
"video","media","<video>This is inside the <video> tag.</video>"
"option","form","<option>This is inside the <option> tag.</option>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" charset=""UTF-8"">"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"td","table","<td>This is inside the <td> tag.</td>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"br","inline","<br>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"option","form","<option>This is inside the <option> tag.</option>"
"source","media","<source>This is inside the <source> tag.</source>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"select","form","<select>This is inside the <select> tag.</select>"
"a","inline","<a rel=""noopener"">This is inside the <a> tag.</a>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"select","form","<select>This is inside the <select> tag.</select>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"td","table","<td>This is inside the <td> tag.</td>"
"td","table","<td>This is inside the <td> tag.</td>"
"source","media","<source>This is inside the <source> tag.</source>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"link","metadata","<link rel=""stylesheet"" href=""styles.css"">"
"li","list","<li>This is inside the <li> tag.</li>"
"select","form","<select>This is inside the <select> tag.</select>"
"col","table","<col>This is inside the <col> tag.</col>"
"button","form","<button>This is inside the <button> tag.</button>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"meta","metadata","<meta charset=""UTF-8"">"
"button","form","<button>This is inside the <button> tag.</button>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"img","inline","<img>"
"th","table","<th>This is inside the <th> tag.</th>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"source","media","<source>This is inside the <source> tag.</source>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"code","inline","<code>This is inside the <code> tag.</code>"
"code","inline","<code>This is inside the <code> tag.</code>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"img","inline","<img width=""500"" alt=""image description"">"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"em","inline","<em>This is inside the <em> tag.</em>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"img","inline","<img>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"code","inline","<code>This is inside the <code> tag.</code>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"link","metadata","<link href=""styles.css"">"
"br","inline","<br>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"input","form","<input type=""text"" required>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"track","media","<track>This is inside the <track> tag.</track>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"source","media","<source>This is inside the <source> tag.</source>"
"track","media","<track>This is inside the <track> tag.</track>"
"form","form","<form action=""/submit"">This is inside the <form> tag.</form>"
"a","inline","<a>This is inside the <a> tag.</a>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"img","inline","<img src=""image.jpg"" width=""500"">"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"input","form","<input>"
"option","form","<option>This is inside the <option> tag.</option>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"form","form","<form action=""/submit"">This is inside the <form> tag.</form>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"option","form","<option>This is inside the <option> tag.</option>"
"li","list","<li>This is inside the <li> tag.</li>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"th","table","<th>This is inside the <th> tag.</th>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"link","metadata","<link href=""styles.css"" rel=""stylesheet"">"
"p","text_content","<p>This is inside the <p> tag.</p>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"button","form","<button>This is inside the <button> tag.</button>"
"a","inline","<a href=""https://example.com"">This is inside the <a> tag.</a>"
"a","inline","<a target=""_blank"">This is inside the <a> tag.</a>"
"meta","metadata","<meta>"
"button","form","<button>This is inside the <button> tag.</button>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"em","inline","<em>This is inside the <em> tag.</em>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"button","form","<button disabled class=""btn btn-primary"">This is inside the <button> tag.</button>"
"col","table","<col>This is inside the <col> tag.</col>"
"link","metadata","<link>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"source","media","<source>This is inside the <source> tag.</source>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"table","table","<table>This is inside the <table> tag.</table>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"link","metadata","<link>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"button","form","<button class=""btn btn-primary"">This is inside the <button> tag.</button>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"td","table","<td>This is inside the <td> tag.</td>"
"track","media","<track>This is inside the <track> tag.</track>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"form","form","<form enctype=""multipart/form-data"" method=""post"">This is inside the <form> tag.</form>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"code","inline","<code>This is inside the <code> tag.</code>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"th","table","<th>This is inside the <th> tag.</th>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"object","media","<object>This is inside the <object> tag.</object>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
